Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Fwd PSH Flags,Fwd Header Length,Fwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Init_Win_bytes_forward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1266342,41,2664,456,0,64.97560976,109.864573,7595.10464,67.12246771,15075.5,104051.3997,948537,0,1266342,31658.55,159355.2595,996324,2,0,1328,32.37671972,0,976,111.8372093,239.6868477,57449.78495,0,0,0,1,0,0,0,1,113.1529412,64.97560976,1328,41,2664,29200,24,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1319353,41,2664,456,0,64.97560976,109.864573,7289.93681,64.42551766,15706.58333,104861.8701,955790,1,1319353,32983.825,159247.9008,996423,1,0,1328,31.07583793,0,976,111.8372093,239.6868477,57449.78495,0,0,0,1,0,0,0,1,113.1529412,64.97560976,1328,41,2664,29200,24,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
160,1,0,0,0,0.0,0.0,0.0,12500.0,160.0,0.0,160,160,0,0.0,0.0,0,0,0,32,6250.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,32,1,0,290,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1303488,41,2728,456,0,66.53658537,110.1299454,7182.267884,63.6753081,15896.19512,106554.899,956551,0,1303488,32587.2,160397.0499,997357,1,0,1328,31.45406785,0,976,111.452381,241.6427915,58391.23867,0,0,0,1,0,0,0,1,112.7951807,66.53658537,1328,41,2728,29200,24,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
77,1,0,0,0,0.0,0.0,0.0,38961.03896,38.5,14.8492424,49,28,0,0.0,0.0,0,0,0,32,12987.01299,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,2,0.0,0.0,32,1,0,243,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
244,1,0,0,0,0.0,0.0,0.0,8196.721311,244.0,0.0,244,244,0,0.0,0.0,0,0,0,32,4098.360656,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,32,1,0,290,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1307239,41,2728,456,0,66.53658537,110.1299454,7161.659039,61.96265564,16340.4875,107311.8787,956263,0,1307239,32680.975,159066.9939,997887,1,0,1328,31.36381335,0,976,114.1707317,243.964772,59518.81,0,0,0,1,0,0,0,0,115.5802469,66.53658537,1328,41,2728,29200,24,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
82,1,0,0,0,0.0,0.0,0.0,36585.36585,41.0,11.3137085,49,33,0,0.0,0.0,0,0,0,32,12195.12195,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,2,0.0,0.0,32,1,0,243,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
171,1,0,0,0,0.0,0.0,0.0,11695.90643,171.0,0.0,171,171,0,0.0,0.0,0,0,0,32,5847.953216,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,32,1,0,290,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
210,1,0,0,0,0.0,0.0,0.0,9523.809524,210.0,0.0,210,210,0,0.0,0.0,0,0,0,32,4761.904762,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,32,1,0,290,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
